WeaponData
{
	"printname"					"#weapon_MG43"
	"ammo_id_display"			"#ammo_id_26"
	"origin"					"#nazi_germany"
	
	"viewmodel"					"models/weapons/v_mg43.mdl"
	"playermodel"				"models/weapons/w_mg43.mdl"
	"anim_prefix"				"mg34"
	
	"bucket"					"0" //weapon menu category
	"bucket_position"			"0" //weapon menu position
	"item_flags"				"0"
	// "autoswitchfrom"			"0"
	"WeaponType"				"Machinegun"
	"SupportedFireModes"		"Auto"

	"weight"					"12" //KG
//	"point_cost"				""

	"HasBayonet"				"0"
	"HasBipod"					"1"
	"isSupressed"				"0" // informational only
	"BuiltRightHanded"			"1" // if 0 it will automatically flip weapon viewmodel to be lefthanded
	
//	"skin"						""
//	BodygroupData
//	{	
//	}
	
	"primary_ammo"				"7.92x57" //caliber
	"secondary_ammo"			"None" //caliber

	"clip_size"					"50/150" //clip size/max ammo
	"clip2_size"				"-1" //ditto for secondary ammo (-1 means we don't use clips for this ammo type)

	"default_clip"				"50" //ammo given by default
	"default_clip2"				"-1" //ditto for second ammo type

	"FireRate"					"800" //RPM
	"SecondaryFireRate"			"-1" //RPM
	"bullet_weight"				"0.010" //KG
	
//	"OverheatRate"				"" // added per shot up to 1.0 (overheated)
//	"OverheatDuration"			"" // how long in seconds your weapon is unusable upon overheating
//	"CooldownRate"				"" // how much overheat is reduced each second from 1.0 to 0.0
	
	//launchers only
	"gl_velocity"				"-1" //m/s, grenade launcher shoot velocity
	//---
	
	//non-explosive only
//	"ExtraBulletChamber"		"" // 0 - does NOT have +1 in the chamber
	"muzzle_velocity"			"853" //m/s, or 3.15ft/s
	"DamageGeneric"				"50" //damage for other objects (i.e. explosive barrels, breakable walls, or characters with no hitboxes set)
	"DamageHeadMultiplier"		"2.05"
	"DamageChestMultiplier"		"0.85"
	"DamageStomachMultiplier"	"0.8"
	"DamageLegMultiplier"		"0.6"
	"DamageArmMultiplier"		"0.55"
	"rangemodifier"				"0.965" //damage * (rangemodifier ^ distance/500) ; or approx. this multiplier is compounded every 600 units
	
	// bullet penetration settings | max depth | all in hammer units | after this distance travelled inside stated material the bullet is completely stopped
	"MetalPenetrationDepth"		"10" //in units
	"GlassPenetrationDepth"		"16"
	"ConcretePenetrationDepth"	"12"
	"WoodPenetrationDepth"		"20"
	"OtherPenetrationDepth"		"14"
	
	// bullet penetration settings | Damage Reduction | Higher value - less damage after penetration
	"MetalDamageModifier"		"1.5"
	"GlassDamageModifier"		"1.1"
	"ConcreteDamageModifier"	"1.7"
	"WoodDamageModifier"		"1.2"
	"OtherDamageModifier"		"1.2"
	//---
	
	"BulletSpreadDegrees"		"10.5" //degrees
	"BulletSpreadDegreesIronsighted"		"3.25" //degrees
	"BulletSpreadDegreesBipod"	"4" //degrees
